date,link,text
2018-05-10 10:13,https://newyork.craigslist.org/mnh/egr/d/job-captain-project-architect/6585053891.html,Job Captain / Project Architect
2018-05-09 22:30,https://newyork.craigslist.org/que/egr/d/construction-inspector/6584825810.html,Construction Inspector - Railroad Construction - Queens/Nassau County
2018-05-09 15:26,https://newyork.craigslist.org/mnh/egr/d/energy-modeler-2yrselectrical/6584466443.html,Energy Modeler (2+yrs)Electrical Engineer (1+ yrs)
2018-05-09 14:37,https://newyork.craigslist.org/lgi/egr/d/drafter-cnc-experience/6584409236.html,Drafter w/ CNC  Experience
2018-05-09 14:35,https://newyork.craigslist.org/lgi/egr/d/draftsman-autocad/6584406661.html,Draftsman - AutoCad
2018-05-09 13:38,https://newyork.craigslist.org/que/egr/d/auto-cad-steel-beam-details/6584339054.html,Auto Cad/ STEEL I Beam Details Drafts Person
2018-05-09 12:33,https://newyork.craigslist.org/mnh/egr/d/architects/6584258020.html,Architects
2018-05-09 11:22,https://newyork.craigslist.org/brk/egr/d/cad-operator/6584170912.html,CAD Operator
2018-05-09 09:55,https://newyork.craigslist.org/mnh/egr/d/dob-expeditor/6584077448.html,DOB Expeditor
2018-05-09 09:30,https://newyork.craigslist.org/mnh/egr/d/senior-interior-designer/6584054772.html,Senior Interior Designer
2018-05-09 09:23,https://newyork.craigslist.org/lgi/egr/d/junior-project-manager/6584048287.html,Junior Project Manager
2018-05-08 18:17,https://newyork.craigslist.org/que/egr/d/cad-assistant-operator/6583680004.html,CAD ASSISTANT - OPERATOR
2018-05-08 17:32,https://newyork.craigslist.org/que/egr/d/junior-estimator/6583637741.html,Junior Estimator
2018-05-08 15:58,https://newyork.craigslist.org/mnh/egr/d/engineer-must-be-aws-icc/6583538438.html,Engineer - MUST be AWS/ ICC Certified!!
2018-05-08 15:01,https://newyork.craigslist.org/mnh/egr/d/restoration-field-specialist/6583472830.html,Restoration Field Specialist
2018-05-08 13:59,https://newyork.craigslist.org/que/egr/d/civil-engineer-student-wanted/6583399179.html,Civil Engineer/Student Wanted - Entry Level Position
2018-05-08 12:44,https://newyork.craigslist.org/brx/egr/d/jr-solar-pv-designer-engineer/6583308426.html,Jr. Solar PV Designer / Engineer
2018-05-08 12:19,https://newyork.craigslist.org/wch/egr/d/flooring-project-manager/6583277688.html,Flooring Project Manager
2018-05-08 11:50,https://newyork.craigslist.org/mnh/egr/d/architectural-draftsperson/6583241131.html,Architectural Draftsperson
